game_status;enemy_status;state_dict;memory_coords;memory_battle_status;memory_my_sprits_status;timestamp
{'return_status': 0};{'enemy_count': 0};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090767.5961888
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': None, 'y_coords': None, 'map_number_tuple': None, 'face_dir': None, 'transport': None, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': 0};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090767.69736
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': None, 'y_coords': None, 'map_number_tuple': None, 'face_dir': None, 'transport': None, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090767.797593
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090767.8977122
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090767.9979281
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090768.0989351
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090768.1991384
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090768.3001344
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'VERDANTURF TOWN Ch. 1\n', 'money': '2137896\n'};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090768.4011352
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 16, 'y_coords': 4, 'map_number_tuple': (1, 14, 50), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 12, 'sprite': 1}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'VERDANTURF TOWN Ch. 1\n', 'money': '2137896\n'};{'x_coords': 16, 'y_coords': 4, 'map_number': (1, 14, 50), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3938857512, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{0: {'pokedex': 0, 'hp': 9, 'happiness': 0.0, 'name': 'unknown', 'skill_0': {'id': 0, 'pp': 0}, 'skill_1': {'id': 0, 'pp': 0}, 'skill_2': {'id': 0, 'pp': 0}, 'skill_3': {'id': 0, 'pp': 0}}, 1: {'pokedex': 217, 'hp': 118, 'happiness': 100.0, 'name': 'BRUCELEELI', 'skill_0': {'id': 230, 'pp': 12}, 'skill_1': {'id': 371, 'pp': 10}, 'skill_2': {'id': 185, 'pp': 20}, 'skill_3': {'id': 163, 'pp': 20}}, 2: {'pokedex': 130, 'hp': 209, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 349, 'pp': 20}, 'skill_1': {'id': 423, 'pp': 15}, 'skill_2': {'id': 242, 'pp': 15}, 'skill_3': {'id': 89, 'pp': 16}}, 3: {'pokedex': 612, 'hp': 225, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 89, 'pp': 16}, 'skill_1': {'id': 337, 'pp': 15}, 'skill_2': {'id': 404, 'pp': 15}, 'skill_3': {'id': 349, 'pp': 20}}, 4: {'pokedex': 64, 'hp': 138, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 94, 'pp': 10}, 'skill_1': {'id': 347, 'pp': 20}, 'skill_2': {'id': 100, 'pp': 20}, 'skill_3': {'id': 351, 'pp': 20}}, 5: {'pokedex': 9, 'hp': 194, 'happiness': 100.0, 'name': 'Hodson', 'skill_0': {'id': 57, 'pp': 15}, 'skill_1': {'id': 504, 'pp': 15}, 'skill_2': {'id': 44, 'pp': 25}, 'skill_3': {'id': 89, 'pp': 10}}};1686090768.5016494
