,y_coords,x_coords,mark
0,646,771,1
1,647,771,1
2,648,771,1
3,649,771,1
4,650,771,1
5,646,772,1
6,647,772,1
7,648,772,1
8,650,772,1
9,646,773,1
10,647,773,1
11,648,773,1
12,646,774,1
13,647,774,1
14,650,774,1
15,646,775,1
16,647,775,1
17,648,775,1
18,649,775,1
19,650,775,1
20,664,775,1
21,666,775,1
22,667,775,1
23,668,775,1
24,648,776,1
25,664,776,1
26,668,776,1
27,647,777,1
28,648,777,1
29,664,777,1
30,668,777,1
31,647,778,1
32,664,778,1
33,647,779,1
34,648,779,1
35,664,779,1
36,665,779,1
37,668,779,1
38,648,780,1
39,649,780,1
40,664,780,1
41,665,780,1
42,667,780,1
43,668,780,1
44,647,781,1
45,664,781,1
46,665,781,1
47,666,781,1
48,667,781,1
49,668,781,1
50,707,781,1
51,709,781,1
52,710,781,1
53,711,781,1
54,712,781,1
55,647,782,1
56,649,782,1
57,653,782,1
58,654,782,1
59,656,782,1
60,657,782,1
61,658,782,1
62,659,782,1
63,661,782,1
64,664,782,1
65,665,782,1
66,667,782,1
67,668,782,1
68,707,782,1
69,709,782,1
70,710,782,1
71,711,782,1
72,712,782,1
73,647,783,1
74,649,783,1
75,653,783,1
76,661,783,1
77,664,783,1
78,665,783,1
79,667,783,1
80,668,783,1
81,710,783,1
82,711,783,1
83,647,784,1
84,648,784,1
85,649,784,1
86,650,784,1
87,652,784,1
88,653,784,1
89,654,784,1
90,656,784,1
91,657,784,1
92,658,784,1
93,659,784,1
94,661,784,1
95,664,784,1
96,665,784,1
97,667,784,1
98,668,784,1
99,682,784,66
100,683,784,66
101,684,784,66
102,685,784,66
103,686,784,66
104,687,784,1
105,688,784,1
106,689,784,1
107,710,784,1
108,713,784,1
109,714,784,1
110,715,784,1
111,716,784,1
112,717,784,1
113,647,785,1
114,648,785,1
115,649,785,1
116,650,785,1
117,651,785,1
118,652,785,1
119,653,785,1
120,654,785,1
121,655,785,1
122,656,785,1
123,657,785,1
124,658,785,1
125,659,785,1
126,660,785,1
127,661,785,1
128,664,785,1
129,665,785,1
130,667,785,1
131,668,785,1
132,682,785,66
133,683,785,66
134,684,785,66
135,685,785,66
136,686,785,66
137,687,785,1
138,688,785,1
139,689,785,1
140,702,785,1
141,703,785,1
142,704,785,1
143,706,785,1
144,707,785,1
145,708,785,1
146,710,785,1
147,711,785,1
148,712,785,1
149,713,785,1
150,714,785,1
151,647,786,1
152,649,786,1
153,650,786,1
154,651,786,1
155,653,786,1
156,654,786,1
157,655,786,1
158,656,786,1
159,658,786,1
160,664,786,1
161,665,786,1
162,667,786,1
163,668,786,1
164,682,786,66
165,683,786,66
166,684,786,66
167,685,786,66
168,686,786,66
169,688,786,1
170,689,786,1
171,690,786,1
172,691,786,1
173,695,786,1
174,696,786,1
175,697,786,1
176,698,786,1
177,699,786,1
178,700,786,1
