,y_coords,x_coords,mark
0,48,0,4
1,49,0,4
2,50,0,4
3,51,0,4
4,52,0,4
5,48,1,4
6,50,1,4
7,52,1,4
8,53,1,4
9,54,1,4
10,48,2,4
11,52,2,4
12,53,2,4
13,54,2,4
14,48,3,4
15,52,3,112
16,53,3,4
17,54,3,4
18,45,4,4
19,46,4,4
20,47,4,4
21,48,4,4
22,52,4,4
23,53,4,4
24,54,4,4
25,45,5,4
26,48,5,4
27,52,5,4
28,53,5,4
29,54,5,4
30,45,6,4
31,48,6,4
32,50,6,4
33,52,6,4
34,53,6,4
35,54,6,4
36,40,7,4
37,41,7,4
38,42,7,4
39,43,7,4
40,44,7,4
41,45,7,4
42,46,7,4
43,47,7,4
44,48,7,4
45,49,7,4
46,50,7,4
47,51,7,4
48,52,7,4
49,53,7,4
50,54,7,4
51,40,8,4
52,41,8,4
53,42,8,4
54,43,8,4
55,44,8,4
56,45,8,4
57,47,8,4
58,48,8,4
59,49,8,4
60,50,8,4
61,51,8,4
62,52,8,4
63,53,8,4
64,54,8,4
65,40,9,4
66,41,9,4
67,42,9,4
68,43,9,4
69,44,9,4
70,45,9,4
71,46,9,4
72,47,9,4
73,48,9,4
74,49,9,4
75,50,9,4
76,51,9,4
77,52,9,4
78,53,9,4
79,54,9,4
80,40,10,4
81,41,10,4
82,42,10,4
83,43,10,4
84,44,10,4
85,45,10,4
86,46,10,4
87,48,10,4
88,51,10,4
89,52,10,4
90,53,10,4
91,54,10,4
92,40,11,4
93,41,11,4
94,42,11,4
95,46,11,4
96,48,11,4
97,52,11,4
98,53,11,4
99,54,11,4
100,40,12,4
101,41,12,4
102,42,12,4
103,46,12,4
104,48,12,4
105,52,12,4
106,53,12,4
107,54,12,4
108,40,13,4
109,41,13,4
110,42,13,4
111,46,13,4
112,48,13,4
113,52,13,4
114,53,13,4
115,54,13,4
116,40,14,4
117,41,14,4
118,42,14,4
119,46,14,4
120,48,14,4
121,52,14,4
122,53,14,4
123,54,14,4
124,40,15,4
125,41,15,4
126,42,15,4
127,46,15,4
128,48,15,4
129,52,15,4
130,53,15,4
131,54,15,4
132,40,16,4
133,41,16,4
134,42,16,4
135,43,16,4
136,44,16,4
137,45,16,4
138,46,16,4
139,47,16,4
140,48,16,4
141,49,16,4
142,50,16,4
143,51,16,4
144,52,16,4
145,53,16,4
146,54,16,4
147,55,16,4
148,56,16,4
149,57,16,4
150,58,16,4
151,59,16,4
152,60,16,4
153,41,17,4
154,42,17,4
155,43,17,4
156,44,17,4
157,45,17,4
158,46,17,4
159,47,17,4
160,48,17,4
161,49,17,4
162,50,17,4
163,51,17,4
164,52,17,4
165,53,17,4
166,54,17,4
167,55,17,4
168,56,17,4
169,57,17,4
170,58,17,4
171,59,17,4
172,60,17,4
173,41,18,4
174,42,18,4
175,46,18,4
176,47,18,4
177,48,18,4
178,51,18,4
179,52,18,4
180,53,18,4
181,54,18,4
182,55,18,4
183,56,18,4
184,57,18,4
185,59,18,4
186,60,18,4
187,40,19,4
188,41,19,4
189,42,19,4
190,46,19,4
191,47,19,4
192,48,19,4
193,51,19,4
194,52,19,4
195,53,19,4
196,54,19,4
197,55,19,4
198,56,19,4
199,57,19,4
200,59,19,4
201,60,19,4
202,40,20,4
203,41,20,4
204,42,20,4
205,46,20,4
206,47,20,4
207,48,20,4
208,51,20,4
209,52,20,4
210,53,20,4
211,54,20,4
212,55,20,4
213,56,20,4
214,57,20,4
215,59,20,4
216,60,20,4
217,40,21,4
218,41,21,4
219,42,21,4
220,46,21,4
221,47,21,4
222,48,21,4
223,52,21,4
224,53,21,4
225,54,21,4
226,55,21,4
227,56,21,4
228,57,21,4
229,59,21,4
230,60,21,4
231,40,22,4
232,41,22,4
233,42,22,4
234,46,22,4
235,47,22,4
236,48,22,4
237,52,22,4
238,53,22,4
239,54,22,4
240,55,22,4
241,56,22,4
242,57,22,4
243,59,22,4
244,60,22,4
245,40,23,4
246,41,23,4
247,42,23,4
248,46,23,4
249,47,23,4
250,48,23,4
251,52,23,4
252,53,23,4
253,54,23,4
254,55,23,4
255,56,23,4
256,57,23,4
257,59,23,4
258,60,23,4
259,40,24,4
260,41,24,4
261,42,24,4
262,46,24,4
263,47,24,4
264,48,24,4
265,52,24,4
266,53,24,4
267,54,24,4
268,55,24,4
269,56,24,4
270,57,24,4
271,59,24,4
272,60,24,4
273,40,25,4
274,41,25,4
275,42,25,4
276,46,25,4
277,47,25,4
278,48,25,4
279,52,25,4
280,53,25,4
281,54,25,4
282,55,25,4
283,56,25,4
284,57,25,4
285,59,25,4
286,60,25,4
287,40,26,4
288,41,26,4
289,42,26,4
290,46,26,4
291,47,26,4
292,48,26,4
293,52,26,4
294,53,26,4
295,54,26,4
296,55,26,4
297,56,26,4
298,57,26,4
299,59,26,4
300,60,26,4
301,40,27,4
302,41,27,4
303,42,27,4
304,43,27,4
305,44,27,4
306,45,27,4
307,46,27,4
308,47,27,4
309,48,27,4
310,49,27,4
311,50,27,4
312,51,27,4
313,52,27,4
314,53,27,4
315,54,27,4
316,55,27,4
317,56,27,4
318,57,27,4
319,58,27,4
320,59,27,4
321,60,27,4
322,40,28,4
323,41,28,4
324,42,28,4
325,43,28,4
326,44,28,4
327,45,28,4
328,46,28,4
329,47,28,4
330,48,28,4
331,49,28,4
332,50,28,4
333,51,28,4
334,52,28,4
335,53,28,4
336,54,28,4
337,55,28,4
338,56,28,4
339,57,28,4
340,58,28,4
341,59,28,4
342,60,28,4
343,40,29,4
344,41,29,4
345,42,29,4
346,43,29,4
347,44,29,4
348,45,29,4
349,46,29,4
350,47,29,4
351,48,29,4
352,49,29,4
353,50,29,4
354,51,29,4
355,52,29,4
356,53,29,4
357,54,29,4
358,55,29,4
359,56,29,4
360,57,29,4
361,58,29,4
362,59,29,4
363,60,29,4
364,40,30,4
365,41,30,4
366,42,30,4
367,43,30,4
368,44,30,4
369,45,30,4
370,46,30,4
371,47,30,4
372,48,30,4
373,49,30,4
374,50,30,4
375,51,30,4
376,52,30,4
377,55,30,4
378,56,30,4
379,57,30,4
380,58,30,4
381,59,30,4
382,60,30,4
383,40,31,4
384,41,31,4
385,42,31,4
386,43,31,4
387,44,31,4
388,45,31,4
