,y_coords,x_coords,mark
0,24,10,1
1,25,10,1
2,26,10,1
3,27,10,1
4,28,10,1
5,29,10,1
6,18,11,1
7,19,11,1
8,20,11,1
9,21,11,1
10,22,11,1
11,23,11,1
12,24,11,1
13,29,11,1
14,18,12,1
15,20,12,1
16,21,12,1
17,22,12,1
18,23,12,1
19,29,12,1
20,18,13,1
21,20,13,1
22,23,13,1
23,29,13,1
24,18,14,1
25,19,14,1
26,20,14,1
27,21,14,1
28,22,14,1
29,23,14,1
30,29,14,1
31,18,15,1
32,20,15,1
33,21,15,1
34,22,15,1
35,23,15,1
36,29,15,1
37,18,16,1
38,19,16,1
39,20,16,1
40,21,16,1
41,22,16,1
42,23,16,1
43,24,16,1
44,25,16,1
45,26,16,1
46,27,16,1
47,28,16,1
48,29,16,1
49,30,16,1
50,31,16,1
51,18,17,1
52,19,17,1
53,20,17,1
54,21,17,1
55,22,17,1
56,23,17,1
57,24,17,1
58,25,17,1
59,26,17,1
60,27,17,1
61,28,17,1
62,29,17,1
63,30,17,1
64,31,17,1
65,33,17,1
66,34,17,1
67,35,17,1
68,37,17,1
69,38,17,1
70,39,17,1
71,41,17,1
72,42,17,1
73,43,17,1
74,44,17,1
75,46,17,1
76,18,18,1
77,19,18,1
78,20,18,1
79,21,18,1
80,22,18,1
81,23,18,1
82,24,18,1
83,25,18,1
84,26,18,1
85,27,18,1
86,28,18,1
87,29,18,1
88,30,18,1
89,31,18,1
90,33,18,1
91,18,19,1
92,19,19,1
93,20,19,1
94,21,19,1
95,22,19,1
96,23,19,1
97,24,19,1
98,25,19,1
99,26,19,1
100,27,19,1
101,28,19,1
102,29,19,1
103,30,19,1
104,31,19,1
105,33,19,1
106,34,19,1
107,20,20,1
108,21,20,1
109,22,20,1
110,23,20,1
111,24,20,1
112,26,20,1
113,27,20,1
114,28,20,1
115,29,20,1
116,30,20,1
117,31,20,1
118,33,20,1
119,34,20,1
120,35,20,1
121,36,20,1
122,37,20,1
123,38,20,1
124,39,20,1
125,40,20,1
126,41,20,1
127,42,20,1
128,43,20,1
129,44,20,1
130,45,20,1
131,46,20,1
132,47,20,1
133,48,20,1
134,49,20,1
135,50,20,66
136,51,20,66
137,20,21,1
138,21,21,1
139,22,21,1
140,23,21,1
141,24,21,1
142,25,21,1
143,29,21,1
144,30,21,1
145,31,21,1
146,33,21,1
147,34,21,1
148,35,21,1
149,36,21,1
150,37,21,1
151,38,21,1
152,39,21,1
153,40,21,1
154,41,21,1
155,42,21,1
156,43,21,1
157,44,21,1
158,45,21,1
159,46,21,1
160,47,21,1
161,48,21,1
162,49,21,1
163,50,21,66
164,51,21,66
165,19,22,1
166,20,22,1
167,21,22,1
168,22,22,1
169,23,22,1
170,24,22,1
171,25,22,1
172,29,22,1
173,30,22,1
174,31,22,1
175,33,22,1
176,34,22,1
177,35,22,1
178,36,22,1
179,37,22,1
180,38,22,1
181,39,22,1
182,40,22,1
183,41,22,1
184,42,22,1
185,43,22,1
186,44,22,1
187,45,22,1
188,46,22,1
189,47,22,1
190,48,22,1
191,49,22,1
192,50,22,66
193,51,22,66
194,20,23,1
195,21,23,1
196,22,23,1
197,23,23,1
198,24,23,1
199,25,23,1
200,29,23,1
201,30,23,1
202,31,23,1
203,33,23,1
204,34,23,1
205,35,23,1
206,36,23,1
207,37,23,1
208,38,23,1
209,39,23,1
210,40,23,1
211,41,23,1
212,42,23,1
213,43,23,1
214,44,23,1
215,45,23,1
216,46,23,1
217,47,23,1
218,48,23,1
219,49,23,1
220,50,23,66
221,51,23,66
222,52,23,1
223,53,23,1
224,55,23,1
225,56,23,1
226,57,23,1
227,58,23,1
228,60,23,1
229,61,23,1
230,20,24,1
231,21,24,1
232,22,24,1
233,23,24,1
234,24,24,1
235,25,24,1
236,29,24,1
237,30,24,1
238,31,24,1
239,33,24,1
240,34,24,1
241,35,24,1
242,36,24,1
243,37,24,1
244,38,24,1
245,39,24,1
246,40,24,1
247,41,24,1
248,42,24,1
249,43,24,1
250,44,24,1
251,45,24,1
252,46,24,1
253,47,24,1
254,48,24,1
255,49,24,1
256,50,24,66
257,51,24,66
258,61,24,1
259,19,25,1
260,20,25,1
261,21,25,1
262,22,25,1
263,23,25,1
264,24,25,1
265,25,25,1
266,29,25,1
267,30,25,1
268,31,25,1
269,33,25,1
270,34,25,1
271,35,25,1
272,36,25,1
273,37,25,1
274,38,25,1
275,39,25,1
276,40,25,1
277,41,25,1
278,42,25,1
279,43,25,1
280,44,25,1
281,45,25,1
282,46,25,1
283,47,25,1
284,48,25,1
285,49,25,1
286,50,25,66
287,51,25,66
288,61,25,1
289,19,26,1
290,20,26,1
291,21,26,1
292,22,26,1
293,23,26,1
294,24,26,1
295,25,26,1
296,29,26,1
297,30,26,1
298,31,26,1
299,32,26,1
300,33,26,1
301,34,26,1
302,35,26,1
303,36,26,1
304,37,26,1
305,38,26,1
306,39,26,1
307,40,26,1
308,41,26,1
309,42,26,1
310,43,26,1
311,44,26,1
312,45,26,1
313,46,26,1
314,47,26,1
315,48,26,1
316,49,26,1
317,50,26,66
318,51,26,66
319,61,26,1
320,62,26,1
321,64,26,1
322,19,27,1
323,20,27,1
324,22,27,1
325,23,27,1
326,24,27,1
327,25,27,1
328,29,27,1
329,30,27,1
330,31,27,1
331,33,27,1
332,34,27,1
333,35,27,1
