,y_coords,x_coords,mark
0,20,7,1
1,21,7,1
2,20,8,1
3,21,8,1
4,19,9,1
5,20,9,1
6,21,9,1
7,19,10,1
8,21,10,1
9,24,10,1
10,25,10,1
11,26,10,1
12,27,10,1
13,28,10,1
14,29,10,1
15,18,11,1
16,19,11,1
17,20,11,1
18,21,11,1
19,22,11,1
20,23,11,1
21,24,11,1
22,29,11,1
23,18,12,1
24,19,12,1
25,20,12,1
26,21,12,1
27,22,12,1
28,23,12,1
29,29,12,1
30,18,13,1
31,19,13,1
32,20,13,1
33,21,13,1
34,23,13,1
35,29,13,1
36,18,14,1
37,19,14,1
38,20,14,1
39,21,14,1
40,22,14,1
41,23,14,1
42,29,14,1
43,18,15,1
44,20,15,1
45,21,15,1
46,22,15,1
47,23,15,1
48,29,15,1
49,18,16,1
50,19,16,1
51,20,16,1
52,21,16,1
53,22,16,1
54,23,16,1
55,24,16,1
56,25,16,1
57,26,16,1
58,27,16,1
59,28,16,1
60,29,16,1
61,30,16,1
62,31,16,1
63,18,17,1
64,19,17,1
65,20,17,1
66,21,17,1
67,22,17,1
68,23,17,1
69,24,17,1
70,25,17,1
71,26,17,1
72,27,17,1
73,28,17,1
74,29,17,1
75,30,17,1
76,31,17,1
77,33,17,1
78,18,18,1
79,19,18,1
80,20,18,1
81,21,18,1
82,22,18,1
83,23,18,1
84,24,18,1
85,25,18,1
86,26,18,1
87,27,18,1
88,28,18,1
89,29,18,1
90,30,18,1
91,31,18,1
92,33,18,1
93,18,19,1
94,19,19,1
95,20,19,1
96,21,19,1
97,22,19,1
98,23,19,1
99,24,19,1
100,25,19,1
101,26,19,1
102,27,19,1
103,28,19,1
104,29,19,1
105,30,19,1
106,31,19,1
107,33,19,1
108,34,19,1
109,20,20,1
110,21,20,1
111,22,20,1
112,23,20,1
113,24,20,1
114,26,20,1
115,27,20,1
116,28,20,1
117,29,20,1
118,30,20,1
119,31,20,1
120,33,20,1
121,34,20,1
122,35,20,1
123,36,20,1
124,37,20,1
125,38,20,1
126,39,20,1
127,40,20,1
128,41,20,1
129,42,20,1
130,43,20,1
131,44,20,1
132,45,20,66
133,46,20,66
134,47,20,1
135,49,20,1
136,50,20,1
137,51,20,1
138,20,21,1
139,21,21,1
140,22,21,1
141,23,21,1
142,29,21,1
143,30,21,1
144,31,21,1
145,33,21,1
146,34,21,1
147,35,21,1
148,36,21,1
149,37,21,1
150,38,21,1
151,39,21,1
152,40,21,1
153,41,21,1
154,42,21,1
155,43,21,1
156,44,21,1
157,45,21,66
158,46,21,66
159,47,21,1
160,48,21,1
161,49,21,1
162,50,21,1
163,51,21,1
164,19,22,1
165,20,22,112
166,21,22,1
167,22,22,1
168,23,22,1
169,29,22,1
170,30,22,1
171,31,22,1
172,33,22,1
173,34,22,1
174,35,22,1
175,36,22,1
176,37,22,1
177,38,22,1
178,39,22,1
179,40,22,1
180,41,22,1
181,42,22,1
182,43,22,1
183,44,22,1
184,45,22,66
185,46,22,66
186,47,22,1
187,48,22,1
188,49,22,1
189,50,22,1
190,51,22,1
191,20,23,1
192,21,23,1
193,22,23,1
194,23,23,1
195,29,23,1
196,30,23,1
197,31,23,1
198,33,23,1
199,34,23,1
200,35,23,1
201,36,23,1
202,37,23,1
203,38,23,1
204,39,23,1
205,40,23,1
206,41,23,1
207,42,23,1
208,43,23,1
209,44,23,1
210,45,23,66
211,46,23,66
212,47,23,1
213,48,23,1
214,49,23,1
215,50,23,1
216,51,23,1
217,52,23,1
218,53,23,1
219,55,23,1
220,56,23,1
221,57,23,1
222,58,23,1
223,60,23,1
224,61,23,1
225,20,24,1
226,21,24,1
227,22,24,1
228,23,24,1
229,24,24,1
230,25,24,1
231,29,24,1
232,30,24,1
233,31,24,1
234,33,24,1
235,34,24,1
236,35,24,1
237,36,24,1
238,37,24,1
239,38,24,1
240,39,24,1
241,40,24,1
242,41,24,1
243,42,24,1
244,43,24,1
245,44,24,1
246,45,24,66
247,46,24,66
248,47,24,1
249,48,24,1
250,49,24,1
251,50,24,1
252,51,24,1
253,61,24,1
254,19,25,1
255,20,25,1
256,21,25,1
257,22,25,1
258,23,25,1
259,24,25,1
260,25,25,1
261,29,25,1
262,30,25,1
263,31,25,1
264,33,25,1
265,34,25,1
266,35,25,1
267,36,25,1
268,37,25,1
269,38,25,1
270,39,25,1
271,40,25,1
272,41,25,1
273,42,25,1
274,43,25,1
275,44,25,1
276,45,25,66
277,46,25,66
278,47,25,1
279,48,25,1
280,49,25,1
281,50,25,1
282,51,25,1
283,61,25,1
284,19,26,1
285,20,26,1
286,21,26,1
287,22,26,1
288,23,26,1
289,24,26,1
290,25,26,1
291,29,26,1
292,30,26,1
293,31,26,1
294,32,26,1
295,33,26,1
296,34,26,1
297,35,26,1
298,36,26,1
299,37,26,1
300,38,26,1
301,39,26,1
302,40,26,1
303,41,26,1
304,42,26,1
305,43,26,1
306,44,26,1
307,45,26,66
308,46,26,66
309,47,26,1
310,48,26,1
311,49,26,1
312,50,26,1
313,51,26,1
314,61,26,1
315,62,26,1
316,64,26,1
317,19,27,1
318,20,27,1
319,22,27,1
320,23,27,1
321,24,27,1
322,25,27,1
323,29,27,1
324,30,27,1
325,31,27,1
