,y_coords,x_coords,mark
0,5,-33,4
1,30,-33,4
2,31,-33,4
3,33,-33,4
4,5,-32,4
5,33,-32,4
6,63,-32,4
7,64,-32,4
8,65,-32,4
9,66,-32,4
10,67,-32,4
11,68,-32,4
12,69,-32,4
13,70,-32,4
14,71,-32,4
15,5,-31,4
16,33,-31,4
17,70,-31,4
18,71,-31,4
19,5,-30,4
20,6,-30,4
21,7,-30,4
22,8,-30,4
23,9,-30,4
24,10,-30,4
25,11,-30,4
26,12,-30,4
27,13,-30,4
28,14,-30,4
29,15,-30,4
30,16,-30,4
31,17,-30,4
32,33,-30,4
33,70,-30,4
34,71,-30,4
35,5,-29,4
36,17,-29,4
37,33,-29,4
38,70,-29,4
39,17,-28,4
40,33,-28,4
41,34,-28,4
42,35,-28,4
43,17,-27,4
44,33,-27,4
45,34,-27,4
46,35,-27,4
47,64,-27,4
48,65,-27,4
49,66,-27,4
50,68,-27,4
51,69,-27,4
52,70,-27,4
53,17,-26,4
54,34,-26,4
55,35,-26,4
56,64,-26,4
57,17,-25,4
58,34,-25,4
59,35,-25,4
60,37,-25,4
61,38,-25,4
62,39,-25,4
63,40,-25,4
64,17,-24,4
65,34,-24,4
66,37,-24,4
67,38,-24,4
68,39,-24,4
69,40,-24,4
70,41,-24,4
71,42,-24,4
72,43,-24,4
73,44,-24,4
74,64,-24,4
75,17,-23,4
76,34,-23,4
77,37,-23,4
78,39,-23,4
79,40,-23,4
80,64,-23,4
81,65,-23,4
82,17,-22,4
83,34,-22,4
84,37,-22,4
85,38,-22,4
86,39,-22,4
87,40,-22,4
88,44,-22,4
89,65,-22,4
90,17,-21,4
91,33,-21,4
92,34,-21,4
93,36,-21,4
94,37,-21,4
95,39,-21,4
96,44,-21,4
97,10,-20,4
98,11,-20,4
99,12,-20,4
100,13,-20,4
101,14,-20,4
102,15,-20,4
103,16,-20,4
104,17,-20,4
105,18,-20,4
106,19,-20,4
107,20,-20,4
108,21,-20,4
109,22,-20,4
110,23,-20,4
111,24,-20,4
112,25,-20,4
113,26,-20,4
114,27,-20,4
115,28,-20,4
116,29,-20,4
117,30,-20,4
118,31,-20,4
119,32,-20,4
120,33,-20,4
121,34,-20,4
122,35,-20,4
123,36,-20,4
124,37,-20,4
125,38,-20,4
126,39,-20,4
127,40,-20,4
128,44,-20,4
129,65,-20,4
130,10,-19,4
131,11,-19,4
132,12,-19,4
133,13,-19,4
134,14,-19,4
135,15,-19,4
