,y_coords,x_coords,mark
0,23,2,1
1,24,2,1
2,25,2,1
3,26,2,1
4,27,2,1
5,28,2,1
6,29,2,1
7,30,2,1
8,31,2,1
9,32,2,1
10,33,2,1
11,34,2,1
12,35,2,1
13,36,2,1
14,37,2,1
15,23,3,1
16,24,3,1
17,25,3,1
18,26,3,1
19,27,3,1
20,28,3,1
21,29,3,1
22,30,3,1
23,31,3,1
24,32,3,1
25,33,3,1
26,34,3,1
27,35,3,1
28,36,3,1
29,37,3,1
30,23,4,1
31,24,4,1
32,25,4,1
33,36,4,1
34,37,4,1
35,23,5,1
36,24,5,1
37,25,5,1
38,33,5,1
39,34,5,1
40,36,5,1
41,37,5,1
42,23,6,1
43,24,6,1
44,25,6,1
45,32,6,1
46,33,6,1
47,34,6,1
48,36,6,1
49,37,6,1
50,23,7,1
51,24,7,1
52,25,7,1
53,32,7,1
54,33,7,1
55,34,7,1
56,36,7,1
57,37,7,1
58,23,8,1
59,24,8,1
60,25,8,1
61,33,8,1
62,34,8,1
63,36,8,1
64,37,8,1
65,23,9,1
66,24,9,1
67,25,9,1
68,32,9,1
69,33,9,1
70,34,9,1
71,35,9,1
72,36,9,1
73,37,9,1
74,23,10,1
75,24,10,1
76,25,10,1
77,33,10,1
78,34,10,1
79,35,10,1
80,36,10,1
81,37,10,1
82,23,11,1
83,24,11,1
84,25,11,1
85,32,11,1
86,33,11,1
87,34,11,1
88,35,11,1
89,36,11,1
90,37,11,1
91,23,12,1
92,24,12,1
93,25,12,1
94,32,12,1
95,33,12,1
96,34,12,1
97,23,13,1
98,24,13,1
99,25,13,1
100,32,13,1
101,33,13,1
102,23,14,1
103,24,14,1
104,25,14,1
105,32,14,1
106,33,14,1
107,34,14,1
108,23,15,1
109,24,15,1
110,25,15,1
111,32,15,1
112,33,15,1
113,34,15,1
114,23,16,1
115,24,16,1
116,25,16,1
117,32,16,1
118,33,16,1
119,34,16,1
120,23,17,1
121,24,17,1
122,25,17,1
123,32,17,1
124,33,17,1
125,23,18,1
126,24,18,1
127,25,18,1
128,32,18,1
129,33,18,1
130,34,18,1
131,23,19,1
132,24,19,1
133,25,19,1
134,32,19,1
135,33,19,1
136,34,19,1
137,35,19,1
138,36,19,1
139,37,19,1
140,38,19,1
141,39,19,1
142,23,20,1
143,24,20,1
144,25,20,1
145,32,20,1
146,33,20,1
147,34,20,1
148,36,20,1
149,38,20,1
150,39,20,1
151,23,21,1
152,24,21,1
153,25,21,1
154,32,21,1
155,33,21,1
156,34,21,1
157,35,21,1
158,36,21,1
159,38,21,1
160,39,21,1
161,23,22,1
162,24,22,1
163,25,22,1
164,32,22,1
165,33,22,1
166,34,22,1
167,36,22,1
168,38,22,1
169,39,22,1
170,23,23,1
