,y_coords,x_coords,mark
0,2,0,4
1,3,0,4
2,4,0,4
3,5,0,4
4,8,0,4
5,2,1,4
6,3,1,4
7,4,1,4
8,5,1,4
9,8,1,4
10,2,2,4
11,3,2,4
12,4,2,4
13,5,2,4
14,6,2,4
15,7,2,4
16,8,2,4
17,2,3,4
18,3,3,4
19,4,3,4
20,5,3,4
21,6,3,4
22,7,3,4
23,8,3,4
24,4,4,4
25,5,4,4
26,6,4,4
27,7,4,4
28,8,4,4
29,4,5,4
30,5,5,4
31,6,5,4
32,7,5,4
33,8,5,4
34,5,6,4
35,6,6,4
36,7,6,4
37,8,6,4
38,4,7,4
39,5,7,4
40,6,7,4
41,7,7,4
42,8,7,4
43,4,8,4
44,5,8,4
45,6,8,4
46,7,8,4
47,8,8,4
48,4,9,4
49,5,9,4
50,6,9,4
51,7,9,4
52,8,9,4
53,4,10,4
54,5,10,4
55,6,10,4
56,7,10,4
57,8,10,4
58,2,11,4
59,3,11,4
60,4,11,4
61,5,11,4
62,8,11,4
63,2,12,4
64,3,12,4
65,4,12,4
66,8,12,4
67,2,13,4
68,3,13,4
69,4,13,4
70,5,13,4
71,6,13,4
72,7,13,4
73,8,13,4
74,2,14,4
75,3,14,4
76,4,14,4
77,8,14,4
