,y_coords,x_coords,mark
0,179,584,1
1,181,584,1
2,174,585,1
3,175,585,1
4,176,585,1
5,177,585,1
6,179,585,1
7,181,585,1
8,174,586,1
9,175,586,1
10,176,586,1
11,177,586,1
12,181,586,1
13,182,586,1
14,174,587,1
15,177,587,1
16,179,587,1
17,181,587,1
18,182,587,1
19,174,588,1
20,175,588,1
21,176,588,1
22,177,588,1
23,179,588,1
24,182,588,1
25,173,589,1
26,174,589,1
27,177,589,1
28,179,589,1
29,182,589,1
30,173,590,1
31,179,590,1
32,173,591,1
33,177,591,1
34,179,591,1
35,180,591,1
36,181,591,1
37,182,591,1
38,173,592,1
39,177,592,1
40,179,592,1
41,180,592,1
42,177,593,1
43,179,593,1
44,180,593,1
45,173,594,1
46,179,594,1
47,180,594,1
48,173,595,1
49,177,595,1
50,179,595,1
51,180,595,1
52,164,596,1
53,166,596,1
54,167,596,1
55,168,596,1
56,170,596,1
57,171,596,1
58,173,596,1
59,177,596,1
60,179,596,1
61,180,596,1
62,164,597,1
63,167,597,1
64,168,597,1
65,170,597,1
66,171,597,1
67,177,597,1
68,179,597,1
69,180,597,1
70,162,598,1
71,164,598,1
72,166,598,1
73,167,598,1
74,168,598,1
75,170,598,1
76,171,598,1
77,173,598,1
78,177,598,1
79,179,598,1
80,180,598,1
81,166,599,1
82,168,599,1
83,170,599,1
84,173,599,1
85,174,599,1
86,175,599,1
87,176,599,1
88,177,599,1
89,178,599,1
90,179,599,1
91,180,599,1
92,181,599,1
93,182,599,1
94,183,599,1
95,184,599,1
96,185,599,1
97,162,600,1
98,166,600,1
99,170,600,1
100,171,600,1
101,173,600,1
102,174,600,1
103,175,600,1
104,176,600,1
105,177,600,1
106,185,600,1
107,162,601,1
108,166,601,1
109,168,601,1
110,170,601,1
111,171,601,1
112,173,601,1
113,174,601,1
114,185,601,1
115,162,602,1
116,164,602,1
117,165,602,1
118,166,602,1
119,167,602,1
120,168,602,1
121,170,602,1
122,171,602,1
123,172,602,1
124,173,602,1
125,174,602,1
126,185,602,1
127,162,603,1
128,164,603,1
129,165,603,1
130,167,603,1
131,168,603,1
132,169,603,1
133,170,603,1
134,171,603,1
135,172,603,1
136,174,603,1
137,185,603,1
138,164,604,1
139,167,604,1
140,171,604,1
141,185,604,1
142,162,605,1
143,165,605,1
144,167,605,1
145,170,605,1
146,171,605,1
147,185,605,1
148,162,606,1
149,164,606,1
150,165,606,1
151,167,606,1
152,170,606,1
153,171,606,1
154,172,606,1
155,173,606,1
156,174,606,1
157,185,606,1
158,162,607,1
159,164,607,1
160,165,607,1
161,166,607,1
162,167,607,1
163,171,607,1
164,185,607,1
165,162,608,1
166,164,608,1
167,165,608,1
168,167,608,1
169,174,608,1
170,185,608,1
171,167,609,1
172,168,609,1
173,169,609,1
174,171,609,1
175,174,609,1
176,185,609,1
177,162,610,1
178,169,610,1
179,171,610,1
180,174,610,1
181,185,610,1
182,162,611,1
183,169,611,1
184,170,611,1
185,171,611,1
186,183,611,1
187,184,611,1
188,185,611,1
189,186,611,1
190,187,611,1
191,162,612,1
192,169,612,1
193,170,612,1
194,174,612,1
195,183,612,1
196,185,612,1
197,186,612,1
198,187,612,1
199,169,613,1
200,170,613,1
201,174,613,1
202,176,613,1
203,177,613,1
204,179,613,1
205,180,613,1
206,183,613,1
207,184,613,1
208,185,613,1
209,186,613,1
210,187,613,1
211,162,614,1
212,169,614,1
213,170,614,1
214,171,614,1
215,173,614,1
216,174,614,1
217,175,614,1
218,176,614,1
219,179,614,1
220,180,614,1
221,181,614,1
222,182,614,1
223,183,614,1
224,184,614,1
225,185,614,1
226,187,614,1
227,162,615,1
228,169,615,1
229,170,615,1
230,171,615,1
231,172,615,1
232,174,615,1
233,175,615,1
234,176,615,1
235,179,615,1
236,180,615,1
237,181,615,1
238,182,615,1
239,183,615,1
240,184,615,1
241,185,615,1
242,187,615,1
243,162,616,1
244,169,616,1
245,170,616,1
246,176,616,1
247,178,616,1
248,179,616,1
249,180,616,1
250,181,616,1
251,182,616,1
252,183,616,1
253,184,616,1
254,185,616,1
255,187,616,1
256,162,617,1
257,169,617,1
258,175,617,1
259,176,617,1
260,177,617,1
261,178,617,1
262,179,617,1
263,180,617,1
264,181,617,1
265,182,617,1
266,183,617,1
267,184,617,1
268,185,617,1
269,186,617,1
270,187,617,1
271,169,618,1
272,170,618,1
273,171,618,1
274,172,618,1
275,173,618,1
276,174,618,1
277,175,618,1
278,176,618,1
279,177,618,1
280,178,618,1
281,179,618,1
282,180,618,1
283,181,618,1
284,182,618,1
285,183,618,1
286,184,618,1
287,185,618,1
288,186,618,1
289,187,618,1
290,162,619,1
291,169,619,1
292,170,619,1
293,171,619,1
294,172,619,1
295,173,619,1
296,174,619,1
297,175,619,1
298,176,619,1
299,177,619,1
300,178,619,1
301,179,619,1
302,180,619,1
303,181,619,1
304,182,619,66
305,183,619,66
306,184,619,66
307,185,619,1
308,186,619,1
309,187,619,1
310,162,620,1
311,169,620,1
312,170,620,1
313,171,620,1
314,172,620,1
315,173,620,1
316,174,620,1
317,175,620,1
318,176,620,1
319,177,620,1
320,178,620,1
321,179,620,1
322,180,620,1
323,181,620,1
324,182,620,66
325,183,620,66
326,184,620,66
327,185,620,1
328,186,620,1
329,187,620,1
330,162,621,1
331,169,621,1
332,170,621,1
333,171,621,1
334,172,621,1
335,173,621,1
336,174,621,1
337,175,621,1
338,176,621,1
339,177,621,1
340,178,621,1
341,179,621,1
342,180,621,1
343,181,621,1
344,182,621,66
345,183,621,66
346,184,621,66
347,185,621,1
348,186,621,1
349,187,621,1
350,169,622,1
351,170,622,1
352,171,622,1
353,172,622,1
354,173,622,1
355,174,622,1
356,175,622,1
357,176,622,1
358,177,622,1
359,178,622,1
360,179,622,1
361,180,622,1
362,181,622,1
363,182,622,66
364,183,622,66
365,184,622,66
366,185,622,1
367,186,622,1
368,187,622,1
369,162,623,1
370,169,623,1
371,170,623,1
372,171,623,1
373,172,623,1
374,173,623,1
375,174,623,1
376,175,623,1
377,176,623,1
378,177,623,1
379,178,623,1
380,179,623,66
381,180,623,66
382,181,623,66
383,182,623,66
384,183,623,66
385,184,623,66
386,185,623,1
387,186,623,1
388,187,623,1
389,162,624,1
390,169,624,1
391,170,624,1
392,171,624,1
393,172,624,1
394,173,624,1
395,174,624,1
396,175,624,1
397,176,624,1
398,177,624,1
399,178,624,1
400,179,624,66
401,180,624,66
402,181,624,66
403,182,624,66
404,183,624,66
405,184,624,66
406,185,624,1
407,186,624,1
408,187,624,1
409,162,625,1
410,169,625,1
411,170,625,1
412,171,625,1
413,172,625,1
414,173,625,1
415,174,625,1
416,175,625,1
417,176,625,1
418,177,625,1
419,178,625,1
420,179,625,66
421,180,625,66
422,181,625,66
423,182,625,66
424,183,625,66
425,184,625,66
426,185,625,1
427,186,625,1
428,187,625,1
429,162,626,1
430,169,626,1
431,170,626,1
432,171,626,1
433,172,626,1
434,173,626,1
435,174,626,1
436,175,626,1
437,176,626,1
438,177,626,1
439,178,626,1
440,179,626,66
441,180,626,66
442,181,626,66
443,182,626,66
444,183,626,66
445,185,626,1
446,186,626,1
447,187,626,1
448,162,627,1
449,169,627,1
450,170,627,1
451,171,627,1
452,172,627,1
453,173,627,1
454,174,627,1
455,175,627,1
456,176,627,1
457,177,627,1
458,178,627,1
459,179,627,66
460,180,627,66
461,181,627,66
462,182,627,66
463,183,627,1
464,184,627,1
465,185,627,1
466,186,627,1
467,187,627,1
468,162,628,1
469,169,628,1
470,170,628,1
471,171,628,1
472,173,628,1
473,174,628,1
474,175,628,1
475,177,628,1
476,178,628,1
477,179,628,1
478,180,628,1
479,181,628,1
480,185,628,1
481,186,628,1
482,187,628,1
483,162,629,1
484,169,629,1
485,170,629,1
486,180,629,1
487,181,629,1
488,183,629,1
489,184,629,1
490,185,629,1
491,186,629,1
492,187,629,1
493,162,630,1
494,171,630,1
495,184,630,1
496,185,630,1
497,186,630,1
498,187,630,1
499,162,631,1
500,163,631,1
501,164,631,1
502,165,631,1
503,166,631,1
504,167,631,1
505,169,631,1
506,171,631,1
507,185,631,1
508,186,631,1
509,187,631,1
510,169,632,1
511,170,632,1
512,171,632,1
513,185,632,1
514,186,632,1
515,187,632,1
516,166,633,1
517,167,633,1
518,169,633,1
519,185,633,1
520,186,633,1
521,187,633,1
522,166,634,1
523,167,634,1
524,169,634,1
525,184,634,1
526,185,634,1
527,186,634,1
528,187,634,1
529,166,635,1
530,167,635,1
531,168,635,1
532,169,635,1
533,184,635,1
534,185,635,1
535,186,635,1
536,187,635,1
537,184,636,1
538,185,636,1
539,186,636,1
540,187,636,1
541,184,637,1
542,185,637,1
543,186,637,1
544,187,637,1
545,184,638,1
546,185,638,1
547,186,638,1
548,187,638,1
549,184,639,1
550,185,639,1
551,186,639,1
552,187,639,1
