,y_coords,x_coords,mark
0,2,-26,1
1,3,-26,1
2,2,-25,1
3,3,-25,1
4,2,-24,1
5,3,-24,1
6,2,-23,1
7,3,-23,1
8,2,-22,1
9,3,-22,1
10,2,-21,1
11,3,-21,1
12,2,-20,1
13,3,-20,1
14,2,-19,1
15,3,-19,1
16,14,-19,66
17,15,-19,66
18,16,-19,66
19,17,-19,66
20,18,-19,66
21,19,-19,66
22,20,-19,66
23,21,-19,66
24,22,-19,66
25,2,-18,1
26,3,-18,1
27,14,-18,66
28,17,-18,66
29,18,-18,66
30,19,-18,66
31,20,-18,66
32,23,-18,1
33,2,-17,1
34,3,-17,1
35,14,-17,66
36,17,-17,66
37,18,-17,66
38,19,-17,66
39,20,-17,66
40,23,-17,1
41,2,-16,1
42,3,-16,1
43,11,-16,66
44,14,-16,66
45,15,-16,66
46,16,-16,66
47,20,-16,66
48,23,-16,1
49,2,-15,1
50,3,-15,1
51,11,-15,66
52,14,-15,66
53,15,-15,66
54,16,-15,66
55,17,-15,66
56,23,-15,1
57,10,-14,1
58,11,-14,66
59,12,-14,66
60,13,-14,66
61,14,-14,66
62,17,-14,66
63,20,-14,66
64,21,-14,66
65,22,-14,1
66,23,-14,1
67,26,-14,1
68,9,-13,1
69,10,-13,1
70,11,-13,66
71,12,-13,66
72,13,-13,66
73,14,-13,66
74,17,-13,66
75,20,-13,66
76,21,-13,66
77,22,-13,1
78,23,-13,1
79,26,-13,1
80,9,-12,1
81,10,-12,1
82,11,-12,1
83,14,-12,66
84,20,-12,66
85,23,-12,1
86,24,-12,1
87,25,-12,1
88,26,-12,1
89,10,-11,1
90,14,-11,66
91,17,-11,66
92,20,-11,66
93,23,-11,1
94,24,-11,1
95,25,-11,1
96,26,-11,1
97,13,-10,66
98,14,-10,66
99,15,-10,66
100,16,-10,66
101,17,-10,66
102,20,-10,66
103,23,-10,1
104,24,-10,1
105,25,-10,1
106,26,-10,1
107,27,-10,1
108,13,-9,66
109,14,-9,66
110,15,-9,66
111,16,-9,66
112,17,-9,66
113,20,-9,66
114,25,-9,1
115,13,-8,66
116,14,-8,66
117,17,-8,66
118,18,-8,66
119,19,-8,66
120,20,-8,66
121,25,-8,1
122,13,-7,66
123,14,-7,66
124,17,-7,66
125,18,-7,66
126,19,-7,66
127,20,-7,66
128,25,-7,1
129,13,-6,66
130,14,-6,66
131,15,-6,66
132,16,-6,66
133,17,-6,66
134,20,-6,66
135,25,-6,1
136,17,-5,66
137,20,-5,66
138,25,-5,1
139,17,-4,66
140,25,-4,1
141,17,-3,66
142,18,-3,66
143,19,-3,66
144,20,-3,66
145,25,-3,1
146,17,-2,66
147,18,-2,66
148,19,-2,66
149,20,-2,66
150,25,-2,1
151,25,-1,1
152,25,0,1
153,25,1,1
154,25,2,1
155,25,3,1
156,25,4,1
157,25,5,1
158,25,6,1
159,25,7,1
160,25,8,1
161,25,9,1
162,25,10,1
163,25,11,1
164,25,12,1
165,25,13,1
166,25,14,1
167,23,15,1
168,24,15,1
169,25,15,1
170,26,15,1
171,27,15,1
172,28,15,1
173,29,15,1
174,22,16,1
175,23,16,1
176,24,16,1
177,25,16,1
178,26,16,1
179,27,16,1
180,28,16,1
181,29,16,1
182,22,17,1
183,23,17,1
184,24,17,1
185,25,17,1
186,26,17,1
187,27,17,1
188,28,17,1
189,29,17,1
190,23,18,1
191,24,18,1
192,25,18,1
193,26,18,1
194,27,18,1
195,296,99,4
196,297,99,4
197,298,99,4
198,267,100,4
199,268,100,4
200,269,100,4
201,270,100,4
202,271,100,4
