,y_coords,x_coords,mark
0,174,412,1
1,176,412,1
2,177,412,1
3,174,413,1
4,177,413,1
5,174,414,1
6,174,415,1
7,177,415,1
8,163,416,1
9,164,416,1
10,166,416,1
11,167,416,1
12,177,416,1
13,160,417,1
14,161,417,1
15,162,417,1
16,163,417,1
17,164,417,1
18,166,417,1
19,167,417,1
20,174,417,1
21,177,417,1
22,160,418,1
23,163,418,1
24,164,418,1
25,165,418,1
26,166,418,1
27,167,418,1
28,168,418,1
29,169,418,1
30,171,418,1
31,172,418,1
32,173,418,1
33,174,418,1
34,176,418,1
35,177,418,1
36,178,418,1
37,179,418,1
38,160,419,1
39,161,419,1
40,162,419,1
41,163,419,1
42,164,419,1
43,166,419,1
44,167,419,1
45,168,419,1
46,169,419,1
47,170,419,1
48,171,419,1
49,172,419,1
50,173,419,1
51,174,419,1
52,175,419,1
53,176,419,1
54,177,419,1
55,178,419,1
56,179,419,1
57,145,420,1
58,146,420,1
59,147,420,1
60,148,420,1
61,167,420,1
62,168,420,1
63,169,420,1
64,170,420,1
65,171,420,1
66,173,420,1
67,174,420,1
68,175,420,1
69,179,420,1
70,145,421,1
71,146,421,1
72,147,421,1
73,149,421,1
74,173,421,1
75,174,421,1
76,175,421,1
77,145,422,1
78,148,422,1
79,149,422,1
80,172,422,1
81,173,422,1
82,174,422,1
83,175,422,1
84,179,422,1
85,145,423,1
86,146,423,1
87,147,423,1
88,148,423,1
89,155,423,1
90,156,423,1
91,157,423,1
92,158,423,1
93,163,423,1
94,173,423,1
95,174,423,1
96,175,423,1
97,179,423,1
98,145,424,1
99,149,424,1
100,156,424,1
101,157,424,1
102,158,424,1
103,163,424,1
104,173,424,1
105,174,424,1
106,175,424,1
107,176,424,1
108,177,424,1
109,178,424,1
110,179,424,1
111,145,425,1
112,146,425,1
113,147,425,1
114,148,425,1
115,149,425,1
116,155,425,1
117,156,425,1
118,157,425,1
119,158,425,1
120,163,425,1
121,164,425,1
122,165,425,1
123,171,425,1
124,172,425,1
125,173,425,1
126,174,425,1
127,175,425,1
128,176,425,1
129,177,425,1
130,178,425,1
131,179,425,1
132,145,426,1
133,146,426,1
134,147,426,1
135,148,426,1
136,149,426,1
