,y_coords,x_coords,mark
0,8,1,4
1,9,1,4
2,10,1,4
3,11,1,4
4,12,1,4
5,13,1,4
6,14,1,4
7,7,2,4
8,8,2,4
9,9,2,4
10,10,2,4
11,11,2,4
12,12,2,4
13,13,2,4
14,15,2,4
15,16,2,4
16,7,3,4
17,12,3,4
18,13,3,4
19,14,3,4
20,15,3,4
21,16,3,4
22,6,4,4
23,7,4,4
24,12,4,4
25,13,4,4
26,14,4,4
27,15,4,4
28,16,4,4
29,17,4,4
30,6,5,4
31,12,5,4
32,13,5,4
33,14,5,4
34,15,5,4
35,16,5,4
36,17,5,4
37,18,5,4
38,6,6,4
39,12,6,4
40,13,6,4
41,14,6,4
42,15,6,4
43,16,6,4
44,17,6,4
45,18,6,4
46,19,6,4
47,6,7,4
48,12,7,4
49,13,7,4
50,14,7,4
51,15,7,4
52,16,7,4
53,17,7,4
54,18,7,4
55,19,7,4
56,20,7,4
57,6,8,4
58,12,8,4
59,13,8,4
60,14,8,4
61,15,8,4
62,16,8,4
63,17,8,4
64,18,8,4
65,19,8,4
66,6,9,4
67,12,9,4
68,13,9,4
69,14,9,4
70,15,9,4
71,16,9,4
72,17,9,4
73,18,9,4
74,6,10,4
75,7,10,4
76,12,10,4
77,13,10,4
78,7,11,4
79,12,11,4
80,13,11,4
81,7,12,4
82,12,12,4
83,13,12,4
84,7,13,4
85,8,13,4
86,9,13,4
87,10,13,4
88,11,13,4
89,12,13,4
90,13,13,4
