,y_coords,x_coords,mark
0,-15,-18,66
1,-14,-18,66
2,-9,-18,1
3,-8,-18,1
4,-7,-18,1
5,-6,-18,1
6,-15,-17,66
7,-14,-17,66
8,-12,-17,66
9,-11,-17,66
10,-10,-17,66
11,-9,-17,1
12,-8,-17,1
13,-7,-17,1
14,-6,-17,1
15,-15,-16,66
16,-14,-16,66
17,-12,-16,66
18,-11,-16,66
19,-9,-16,1
20,-8,-16,1
21,-7,-16,1
22,-6,-16,1
23,-15,-15,66
24,-14,-15,66
25,-12,-15,66
26,-11,-15,66
27,-9,-15,1
28,-8,-15,1
29,-7,-15,1
30,-6,-15,1
31,-15,-14,66
32,-14,-14,66
33,-12,-14,66
34,-11,-14,66
35,-9,-14,1
36,-8,-14,1
37,-7,-14,1
38,-15,-13,66
39,-14,-13,66
40,-13,-13,66
41,-12,-13,66
42,-11,-13,66
43,-12,-12,66
44,-11,-12,66
45,-12,-11,66
46,-11,-11,66
47,-12,-10,66
48,-11,-10,66
49,-12,-9,66
50,-11,-9,66
51,-12,-8,66
52,-11,-8,66
53,-12,-7,66
54,-11,-7,66
55,-12,-6,66
56,-11,-6,66
57,-12,-5,66
58,-11,-5,66
59,-12,-4,66
60,-11,-4,66
61,2,-4,1
62,3,-4,1
63,4,-4,1
64,-12,-3,66
65,-11,-3,66
66,-1,-3,1
67,0,-3,1
68,1,-3,1
69,2,-3,1
70,3,-3,1
71,4,-3,1
72,-12,-2,66
73,-11,-2,66
74,-1,-2,1
75,0,-2,1
76,1,-2,1
77,2,-2,1
78,3,-2,1
79,4,-2,1
80,-12,-1,66
81,-11,-1,66
82,0,-1,1
83,1,-1,1
84,2,-1,1
85,3,-1,1
86,-12,0,66
87,-11,0,66
88,-1,0,1
89,0,0,1
90,1,0,1
91,6,0,1
92,9,0,1
93,10,0,1
94,11,0,1
95,-12,1,66
96,-11,1,66
97,-2,1,1
98,-1,1,1
99,9,1,1
100,10,1,1
101,11,1,1
102,-12,2,66
103,-11,2,66
104,-3,2,1
105,-2,2,1
106,-1,2,1
107,0,2,1
108,8,2,1
109,9,2,1
110,10,2,1
111,-12,3,66
112,-11,3,66
113,-3,3,1
114,-2,3,1
115,-1,3,1
116,0,3,1
117,8,3,1
118,9,3,1
119,10,3,1
120,11,3,1
121,-12,4,66
122,-11,4,66
123,-3,4,1
124,-2,4,1
125,-1,4,1
126,0,4,1
127,8,4,1
128,9,4,1
129,10,4,1
130,11,4,1
131,-12,5,66
132,-11,5,66
133,-2,5,1
134,-1,5,1
135,0,5,1
136,8,5,1
137,9,5,1
138,10,5,1
139,11,5,1
140,-12,6,66
141,-11,6,66
142,-3,6,66
143,-2,6,1
144,-1,6,1
145,0,6,1
146,4,6,1
147,5,6,1
148,6,6,1
149,8,6,1
150,9,6,1
151,10,6,1
152,11,6,1
153,15,6,1
154,-13,7,66
155,-12,7,66
156,-11,7,66
157,-10,7,66
158,-9,7,66
159,-8,7,66
160,-7,7,66
161,-3,7,66
162,-1,7,1
163,0,7,1
164,2,7,1
165,4,7,1
166,5,7,1
167,6,7,1
168,7,7,1
169,8,7,1
170,9,7,1
171,10,7,1
172,11,7,1
173,15,7,1
174,-13,8,66
175,-12,8,66
176,-11,8,66
177,-10,8,66
178,-9,8,66
179,-8,8,66
180,-7,8,66
181,-6,8,66
182,-5,8,66
183,-4,8,66
184,-3,8,66
185,-2,8,1
186,-1,8,1
187,0,8,1
188,1,8,1
189,2,8,1
190,3,8,1
191,4,8,1
192,5,8,1
193,6,8,1
194,7,8,1
195,8,8,1
196,9,8,1
197,10,8,1
198,11,8,1
199,15,8,1
200,-14,9,66
201,-13,9,66
202,-11,9,66
203,-10,9,66
204,-9,9,66
205,-8,9,66
206,-7,9,66
207,-5,9,66
208,-4,9,66
209,-3,9,66
210,-2,9,1
211,-1,9,1
212,0,9,1
213,3,9,1
214,4,9,1
215,5,9,1
216,6,9,1
217,7,9,1
218,8,9,1
219,9,9,1
220,11,9,1
221,15,9,1
222,-10,10,66
223,-9,10,66
224,-8,10,66
225,-7,10,66
