game_status;enemy_status;state_dict;memory_coords;memory_battle_status;memory_my_sprits_status;timestamp
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 10, 'map_number_tuple': (1, 28, 50), 'face_dir': 2, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE1I3Ch.1t—CtCtS™S\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 10, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.328813
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 10, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE1I3Ch.1t—CtCtS™S\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 9, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.4293547
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 10, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE1I3Ch.1t—CtCtS™S\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 9, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.5303664
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 9, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE1I3Ch.1t—CtCtS™S\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 8, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.6307216
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 9, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 8, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.7315722
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 9, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 8, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.8319983
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 8, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 7, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855504.9325542
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 8, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 7, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855505.032751
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 7, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 6, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855505.1338906
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 11, 'y_coords': 7, 'map_number_tuple': (1, 28, 50), 'face_dir': 1, 'transport': 0, 'battle_time_passed': None, 'sprite_dict': {'Sweet Scent': {'pp': 0, 'sprite': None}, 'False Swipe': {'pp': 0, 'sprite': None}, 'Spore': {'pp': 0, 'sprite': None}}};{'enemy_count': None};{'address': 'ROUTE113 Ch. 1\n', 'money': '276702\n'};{'x_coords': 11, 'y_coords': 6, 'map_number': (1, 28, 50), 'face_dir': 1, 'transport': 0};{'player_info_not_sure_address': 3941049504, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};{};1685855505.2347622
