game_status;enemy_status;state_dict;memory_coords;memory_battle_status;timestamp
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 172, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 172, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328489.5624883
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 172, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 172, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328489.6634767
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 173, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 173, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328489.7636685
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 173, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 173, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328489.8638582
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 173, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 173, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328489.9643462
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 174, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 174, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328490.0652316
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 174, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 174, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328490.1655858
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 174, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 175, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328490.2663248
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 175, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 175, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328490.3668761
{'return_status': 1, 'check_battle_end_pokemon_caught': (False, []), 'x_coords': 180, 'y_coords': 175, 'map_number_tuple': (2, 0, 113), 'face_dir': 0, 'transport': 0, 'battle_time_passed': None, 'skill_pp': {'点到为止': 0, '甜甜香气': 0, '蘑菇孢子': 0}};{'enemy_count': None};{'address': 'cirrus City Ch. 3\n', 'money': '85788\n'};{'x_coords': 180, 'y_coords': 175, 'map_number': (2, 0, 113), 'face_dir': 0, 'transport': 0};{'player_info_not_sure_address': 3937488048, 'battle_instance_address': 0, 'battle_time_passed': None, 'battle_option_ready': None};1686328490.4678583
