,y_coords,x_coords,mark
0,46,16,2
1,47,16,2
2,48,16,2
3,49,16,2
4,50,16,2
5,51,16,2
6,52,16,2
7,53,16,2
8,54,16,2
9,46,17,2
10,47,17,1
11,48,17,1
12,49,17,1
13,50,17,66
14,51,17,66
15,52,17,66
16,53,17,66
17,54,17,2
18,38,18,2
19,39,18,2
20,40,18,2
21,41,18,2
22,42,18,2
23,43,18,2
24,44,18,2
25,45,18,2
26,46,18,2
27,47,18,1
28,48,18,1
29,49,18,1
30,50,18,66
31,51,18,66
32,52,18,66
33,53,18,66
34,54,18,2
35,38,19,2
36,39,19,1
37,40,19,1
38,41,19,1
39,42,19,1
40,43,19,1
41,44,19,1
42,45,19,1
43,46,19,1
44,47,19,1
45,48,19,1
46,49,19,1
47,50,19,66
48,51,19,66
49,52,19,66
50,53,19,66
51,54,19,2
52,38,20,2
53,39,20,1
54,40,20,1
55,41,20,1
56,42,20,1
57,43,20,1
58,44,20,1
59,45,20,1
60,46,20,1
61,47,20,1
62,48,20,1
63,49,20,1
64,50,20,66
65,51,20,66
66,52,20,66
67,53,20,66
68,54,20,2
69,55,20,2
70,38,21,2
71,39,21,1
72,40,21,1
73,41,21,1
74,42,21,1
75,43,21,1
76,44,21,1
77,45,21,1
78,46,21,1
79,47,21,1
80,48,21,1
81,49,21,1
82,50,21,66
83,51,21,66
84,52,21,66
85,53,21,66
86,54,21,66
87,55,21,2
88,38,22,2
89,39,22,1
90,40,22,1
91,41,22,1
92,42,22,1
93,43,22,1
94,44,22,1
95,45,22,66
96,46,22,66
97,47,22,66
98,48,22,66
99,49,22,66
100,50,22,66
101,51,22,66
102,52,22,66
103,53,22,66
104,54,22,66
105,55,22,2
106,35,23,2
107,36,23,2
108,37,23,2
109,38,23,2
110,39,23,1
111,40,23,1
112,41,23,1
113,42,23,1
114,43,23,1
115,44,23,1
116,45,23,66
117,46,23,66
118,47,23,66
119,48,23,66
120,49,23,66
121,50,23,66
122,51,23,66
123,52,23,66
124,53,23,66
125,54,23,66
126,55,23,2
127,26,24,2
128,27,24,2
129,28,24,2
130,29,24,2
131,30,24,2
132,31,24,2
133,32,24,2
134,33,24,2
135,34,24,2
136,35,24,2
137,36,24,1
138,37,24,1
139,38,24,1
140,39,24,1
141,40,24,1
142,41,24,1
143,42,24,1
144,43,24,1
145,44,24,1
146,45,24,66
147,46,24,66
148,47,24,66
149,48,24,66
150,49,24,66
151,50,24,66
152,51,24,66
153,52,24,66
154,53,24,66
155,54,24,66
156,55,24,2
157,25,25,2
158,26,25,2
159,27,25,1
160,28,25,1
161,29,25,1
162,30,25,1
163,31,25,1
164,32,25,1
165,33,25,1
166,34,25,1
167,35,25,1
168,36,25,1
169,37,25,1
170,38,25,1
171,39,25,1
172,40,25,1
173,41,25,1
174,42,25,1
175,43,25,1
176,44,25,1
177,45,25,66
178,46,25,66
179,47,25,66
180,48,25,66
181,49,25,66
182,50,25,66
183,51,25,66
184,52,25,66
185,53,25,66
186,54,25,66
187,55,25,2
188,25,26,2
189,26,26,1
190,27,26,1
191,28,26,1
192,29,26,1
193,30,26,1
194,31,26,2
195,32,26,2
196,33,26,2
197,34,26,2
198,35,26,2
199,36,26,2
200,37,26,2
201,38,26,1
202,39,26,1
203,40,26,1
204,41,26,1
205,42,26,1
206,43,26,1
207,44,26,1
208,45,26,66
209,46,26,66
210,47,26,66
211,48,26,66
212,49,26,66
213,50,26,66
214,51,26,66
215,52,26,66
216,53,26,66
217,54,26,66
218,55,26,2
219,24,27,2
220,25,27,2
221,26,27,1
222,27,27,1
223,28,27,2
224,29,27,2
225,30,27,2
226,31,27,2
227,37,27,2
228,38,27,1
229,39,27,1
230,40,27,1
231,41,27,1
232,42,27,1
233,43,27,1
234,44,27,66
235,45,27,66
236,46,27,66
237,47,27,66
238,48,27,66
239,49,27,66
240,50,27,66
241,51,27,66
242,52,27,66
243,53,27,66
244,54,27,66
245,55,27,2
246,24,28,2
247,25,28,1
248,26,28,1
249,27,28,1
250,28,28,2
251,37,28,2
252,38,28,1
253,39,28,1
254,40,28,1
255,41,28,1
256,42,28,1
257,43,28,1
258,44,28,66
259,45,28,66
260,46,28,66
261,47,28,66
262,48,28,66
263,49,28,66
264,50,28,66
265,51,28,66
266,52,28,66
267,53,28,66
268,54,28,66
269,55,28,2
270,24,29,2
271,25,29,1
272,26,29,1
273,27,29,1
274,28,29,2
275,37,29,2
276,38,29,1
277,39,29,1
278,40,29,1
279,41,29,1
280,42,29,1
281,43,29,1
282,44,29,66
283,45,29,66
284,46,29,66
285,47,29,66
286,48,29,66
287,49,29,66
288,50,29,66
289,51,29,66
290,52,29,66
291,53,29,66
292,54,29,66
293,55,29,2
294,24,30,2
295,25,30,1
296,26,30,1
297,27,30,1
298,28,30,2
299,37,30,2
300,38,30,1
301,39,30,1
302,40,30,1
303,41,30,1
304,42,30,1
305,43,30,1
306,44,30,66
307,45,30,66
308,46,30,66
309,47,30,66
310,48,30,66
311,49,30,66
312,50,30,66
313,51,30,66
314,52,30,66
315,53,30,66
316,54,30,66
317,55,30,2
318,24,31,2
319,25,31,1
320,26,31,1
321,27,31,1
322,28,31,2
323,37,31,2
324,38,31,1
325,39,31,1
326,40,31,1
327,41,31,1
328,42,31,1
329,43,31,1
330,44,31,66
331,45,31,66
332,46,31,66
333,47,31,66
334,48,31,66
335,49,31,66
336,50,31,66
337,51,31,66
338,52,31,66
339,53,31,66
340,54,31,66
341,55,31,2
342,24,32,2
343,25,32,1
344,26,32,1
345,27,32,1
346,28,32,2
347,37,32,2
348,38,32,1
349,39,32,1
350,40,32,1
351,41,32,1
352,42,32,1
353,43,32,1
354,44,32,66
355,45,32,66
356,46,32,66
357,47,32,66
358,48,32,66
359,49,32,66
360,50,32,66
361,51,32,66
362,52,32,66
363,53,32,66
364,54,32,66
365,55,32,2
366,24,33,2
367,25,33,1
368,26,33,1
369,27,33,1
370,28,33,2
371,37,33,2
372,38,33,1
373,39,33,1
374,40,33,1
375,41,33,1
376,42,33,1
377,43,33,1
378,44,33,1
379,45,33,66
380,46,33,66
381,47,33,66
382,48,33,66
383,49,33,66
384,50,33,66
385,51,33,66
386,52,33,66
387,53,33,66
388,54,33,66
389,55,33,2
390,24,34,2
391,25,34,1
392,26,34,1
393,27,34,1
394,28,34,2
395,29,34,2
396,30,34,2
397,31,34,2
398,32,34,2
399,37,34,2
400,38,34,1
401,39,34,1
402,40,34,1
403,41,34,1
404,42,34,1
405,43,34,1
406,44,34,1
407,45,34,66
408,46,34,66
409,47,34,66
410,48,34,66
411,49,34,66
412,50,34,66
413,51,34,66
414,52,34,66
415,53,34,66
416,54,34,2
417,55,34,2
418,24,35,2
419,25,35,1
420,26,35,1
421,27,35,1
422,28,35,1
423,29,35,1
424,30,35,1
425,31,35,1
426,32,35,2
427,33,35,2
428,34,35,2
429,35,35,2
430,36,35,2
431,37,35,2
432,38,35,1
433,39,35,1
434,40,35,1
435,41,35,1
